"nomor_order_receipt";"nomor_po";"tanggal_order";"custid";"status_order";"order_created_by";"tanggal_sp";"tanggal_do";"sales_val_do";"tanggal_receive";"cust_receive";"keterangan_order";"keterangan_sp";"keterangan_do";"keterangan_receive";"several_address"
"ORD2007-0002";"0";"2020-07-22";"TKDSANPUR";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2007-0003";NULL;"2020-07-22";"TKDSANPUR";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0001";"-";"2020-08-18";"TNGALFA";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0003";"-";"2020-08-18";"TNGSUPAN";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0004";"-";"2020-08-18";"TMJPRES";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0005";"po2008180002";"2020-08-18";"TSBPERDA";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0007";"-";"2020-08-18";"TSDFIDES";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0008";"-";"2020-08-18";"TKDSANPUR";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0009";"ppo3.2008-0007";"2020-08-19";"TSDGOLDE";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0010";"PPO3.2008-0008";"2020-08-19";"TSDGOLDE";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0011";"-";"2020-08-21";"TSBPRASE";"2";"2";NULL;NULL;NULL;NULL;NULL;"kirim tgl 24 dan 25 agustus 2020 @8000 kg";NULL;NULL;NULL;"0"
"ORD2008-0012";"PA-2008-000036";"2020-08-21";"TGRBRIDGE";"2";"2";NULL;NULL;NULL;NULL;NULL;"MESH 1200 SAJA YG DIBUAT DULU . MESH 800 NYA MENYUSUL";NULL;NULL;NULL;"0"
"ORD2008-0013";"016/AFM/DSGM/VIII/2020";"2020-08-21";"BJUARFA";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0014";"-";"2020-08-21";"TMLANPA";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0015";"-";"2020-08-21";"TMLTRITO";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0016";"00011/SNA VIII/2020";"2020-08-21";"TGMSURNU";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0017";"PF-2007-000007";"2020-08-21";"TGRBRIDGE";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0018";"POL-2008-00131-3";"2020-08-21";"TSBIPRIM";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0019";"-";"2020-08-21";"TTGEMPAT";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"ORD2008-0020";"-";"2020-08-24";"TSBRONI";"2";"2";NULL;NULL;NULL;NULL;NULL;"UNIT 2";NULL;NULL;NULL;"0"
"ORD2008-0021";"-";"2020-08-24";"TSBJANG";"2";"2";NULL;NULL;NULL;NULL;NULL;"unit 2";NULL;NULL;NULL;"0"
"ORD2008-0022";"-";"2020-08-24";"TPWYANI";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
