"nomor_laporan_produksi_lab";"nomor_laporan_produksi";"jam_waktu";"mesin";"rpm";"mesh";"std_ssa";"ssa";"std_d50";"d50";"std_d98";"d98";"cie86";"iso2470";"moisture";"residue"
"LHPL2007-000001";"LHP2007-0001";"08:00:00";"1";"1000";"800";NULL;"11529";NULL;"1.74";NULL;"20.65";"87.3";"94.1";"0.152";"0.01"
"LHPL2007-000002";"LHP2007-0001";"08:00:00";"2";"2000";"6000";NULL;"11668";NULL;"1.73";NULL;"18.16";"81.6";"92";"0.112";"0.01"
"LHPL2007-000003";"LHP2007-0001";"08:00:00";"3";"3000";"800";NULL;"11583";NULL;"1.79";NULL;"20.95";"84.8";"90.9";"0.144";"0.02"
"LHPL2007-000004";"LHP2007-0001";"08:00:00";"10";"6000";"500";NULL;"6972";NULL;"6.62";NULL;"49.4";"75.8";"86.4";"0.424";"0.01"
"LHPL2007-000005";"LHP2007-0002";"12:00:00";"1";NULL;"800";NULL;NULL;NULL;"0";NULL;"0";"85.5";"92";"0.141";"0.01"
"LHPL2007-000006";"LHP2007-0002";"12:00:00";"2";NULL;"6000";NULL;NULL;NULL;"0";NULL;"0";"85.5";"92";"0.105";"0.05"
"LHPL2007-000007";"LHP2007-0002";"12:00:00";"3";NULL;"800";NULL;NULL;NULL;"0";NULL;"0";"84.2";"92.4";"0.108";"0.01"
"LHPL2007-000008";"LHP2007-0002";"12:00:00";"10";NULL;"500";NULL;NULL;NULL;"0";NULL;"0";"76";"87.2";"0.548";"0.02"
"LHPL2007-000009";"LHP2007-0001";"08:00:00";"4";"4000";"800";NULL;"6882";NULL;"7.01";NULL;"47.54";"80.6";"90.4";"0.236";"0.01"
"LHPL2008-000001";"LHP2008-0001";"08:00:00";"1";"390";"800";NULL;"10422";NULL;"2.14";NULL;"21.65";"85";"91.5";"0.222";"0.01"
"LHPL2008-000002";"LHP2008-0001";"08:00:00";"2";"470";"2000";NULL;"11135";NULL;"1.88";NULL;"25.68";"86.2";"93.9";"0.138";"0.04"
"LHPL2008-000003";"LHP2008-0001";"08:00:00";"3";"405";"1200";NULL;"11235";NULL;"2.11";NULL;"81.94";"79.3";"90.1";"0.186";"0.05"
