"nomor_rencana_produksi";"id_user";"keterangan";"tanggal_rencana";"tanggal_input";"status";"created_at";"created_by";"updated_at";"updated_by"
"WOS2005-0001";"3";"Tes";"2020-05-12";"2020-05-29";"1";NULL;NULL;NULL;NULL
"WOS2005-0002";"3";"Tes";"2020-05-29";"2020-05-29";"1";NULL;NULL;NULL;NULL
"WOS2006-0001";"3";"tes";"2020-05-30";"2020-06-03";"1";NULL;NULL;NULL;NULL
"WOS2006-0002";"3";NULL;"2020-06-11";"2020-06-11";"1";NULL;NULL;NULL;NULL
"WOS2006-0003";"3";NULL;"2020-06-12";"2020-06-12";"1";NULL;NULL;NULL;NULL
"WOS2008-0001";"3";NULL;"2020-08-24";"2020-08-31";"1";NULL;NULL;NULL;NULL
"WOS2009-0001";"3";"pakai karung polos";"2020-09-15";"2020-09-14";"1";NULL;NULL;NULL;NULL
"WOS2110-0001";"3";NULL;"2021-10-05";"2021-10-04";"0";NULL;NULL;NULL;NULL
"WOS2110-0002";"3";NULL;"2021-10-06";"2021-10-06";"1";NULL;NULL;NULL;NULL
"WOS2110-0003";"3";NULL;"2021-10-07";"2021-10-06";"1";NULL;NULL;NULL;NULL
"WOS2110-0004";"3";NULL;"2021-10-08";"2021-10-07";"1";NULL;NULL;NULL;NULL
"WOS2110-0005";"3";NULL;"2021-10-09";"2021-10-08";"1";NULL;NULL;NULL;NULL
"WOS2110-0006";"3";NULL;"2021-10-11";"2021-10-11";"1";NULL;NULL;NULL;NULL
"WOS2110-0007";"3";NULL;"2021-10-12";"2021-10-11";"1";NULL;NULL;NULL;NULL
"WOS2110-0008";"3";NULL;"2021-10-13";"2021-10-12";"1";NULL;NULL;NULL;NULL
"WOS2110-0009";"3";NULL;"2021-10-14";"2021-10-13";"1";NULL;NULL;NULL;NULL
"WOS2110-0010";"3";NULL;"2021-10-15";"2021-10-14";"1";NULL;NULL;NULL;NULL
"WOS2110-0011";"3";NULL;"2021-10-16";"2021-10-16";"1";NULL;NULL;NULL;NULL
"WOS2110-0012";"3";NULL;"2021-10-18";"2021-10-18";"1";NULL;NULL;NULL;NULL
"WOS2110-0013";"3";NULL;"2021-10-19";"2021-10-18";"1";NULL;NULL;NULL;NULL
"WOS2110-0014";"3";NULL;"2021-10-21";"2021-10-21";"1";NULL;NULL;NULL;NULL
"WOS2110-0015";"3";NULL;"2021-10-22";"2021-10-21";"1";NULL;NULL;NULL;NULL
"WOS2110-0016";"3";NULL;"2021-10-23";"2021-10-22";"1";NULL;NULL;NULL;NULL
"WOS2110-0017";"3";NULL;"2021-10-25";"2021-10-23";"1";NULL;NULL;NULL;NULL
"WOS2110-0018";"3";NULL;"2021-10-26";"2021-10-25";"1";NULL;NULL;NULL;NULL
"WOS2110-0019";"3";NULL;"2021-10-27";"2021-10-27";"1";NULL;NULL;NULL;NULL
"WOS2110-0020";"3";NULL;"2021-10-28";"2021-10-28";"1";NULL;NULL;NULL;NULL
"WOS2110-0021";"3";NULL;"2021-10-29";"2021-10-29";"1";"2021-10-29 08:48:54";"3";"2021-10-29 08:48:54";"3"
"WOS2110-0022";"3";NULL;"2021-10-30";"2021-10-29";"1";"2021-10-29 14:55:03";"3";"2021-10-29 14:55:03";"3"
"WOS2111-0001";"3";NULL;"2021-11-01";"2021-11-01";"1";"2021-11-01 08:15:43";"3";"2021-11-01 08:15:43";"3"
"WOS2111-0002";"3";NULL;"2021-11-02";"2021-11-01";"1";"2021-11-01 15:33:59";"3";"2021-11-01 15:33:59";"3"
"WOS2111-0003";"3";NULL;"2021-11-03";"2021-11-03";"1";"2021-11-03 08:28:22";"3";"2021-11-03 08:28:22";"3"
"WOS2111-0004";"3";NULL;"2021-11-04";"2021-11-03";"1";"2021-11-03 14:29:05";"3";"2021-11-03 14:29:05";"3"
"WOS2111-0005";"3";NULL;"2021-11-05";"2021-11-04";"1";"2021-11-04 15:22:17";"3";"2021-11-04 15:22:17";"3"
"WOS2111-0006";"3";NULL;"2021-11-06";"2021-11-06";"1";"2021-11-06 08:39:06";"3";"2021-11-06 08:39:06";"3"
"WOS2111-0007";"3";NULL;"2021-11-08";"2021-11-06";"1";"2021-11-06 10:19:45";"3";"2021-11-06 10:19:45";"3"
"WOS2111-0008";"3";NULL;"2021-11-09";"2021-11-08";"1";"2021-11-08 15:35:49";"3";"2021-11-08 15:35:49";"3"
"WOS2111-0009";"3";NULL;"2021-11-10";"2021-11-10";"1";"2021-11-10 08:14:52";"3";"2021-11-10 08:14:52";"3"
"WOS2111-0010";"3";NULL;"2021-11-11";"2021-11-10";"1";"2021-11-10 14:47:49";"3";"2021-11-10 14:47:49";"3"
"WOS2111-0011";"3";NULL;"2021-11-11";"2021-11-10";"1";"2021-11-10 14:49:02";"3";"2021-11-10 14:49:02";"3"
"WOS2111-0012";"3";NULL;"2021-11-12";"2021-11-11";"2";"2021-11-11 14:49:04";"3";"2021-11-12 08:29:06";"3"
"WOS2111-0013";"3";NULL;"2021-11-13";"2021-11-12";"1";"2021-11-12 14:23:53";"3";"2021-11-12 14:23:53";"3"
"WOS2111-0014";"3";NULL;"2021-11-18";"2021-11-18";"1";"2021-11-18 08:38:44";"3";"2021-11-18 08:38:44";"3"
"WOS2111-0015";"3";NULL;"2021-11-19";"2021-11-19";"1";"2021-11-19 08:41:51";"3";"2021-11-19 08:41:51";"3"
"WOS2111-0016";"3";NULL;"2021-11-20";"2021-11-20";"1";"2021-11-20 08:31:14";"3";"2021-11-20 08:31:14";"3"
"WOS2111-0017";"3";NULL;"2021-11-22";"2021-11-20";"1";"2021-11-20 13:40:42";"3";"2021-11-20 13:40:42";"3"
"WOS2111-0018";"3";NULL;"2021-11-23";"2021-11-23";"1";"2021-11-23 08:57:35";"3";"2021-11-23 08:57:35";"3"
"WOS2111-0019";"3";NULL;"2021-11-23";"2021-11-23";"1";"2021-11-23 08:57:39";"3";"2021-11-23 08:57:39";"3"
